Over 18,White,Median Income,Graduation %,Unemployment...21,Bachelor,16 Rep Vote,16 Dem Vote,18 Inc,16 Funds Got,16 Funds Spent,won,total_votes
0.7855057564,0.7639080898,0.51868,0.909,0.08465628427,0.278,0.6909985752,0.3090014248,1,0.9388657485,0.952663746,0,149172
0.7961021742,0.7557276798,0.45807,0.876,0.08465628427,0.261,0.5870810253,0.4129189747,1,0.03489753302,0.02841044571,0,167326
0.7927617196,0.8121272614,0.63472,0.926,0.08465628427,0.4,1,0,1,0.9158692306,0.9152259461,0,196423
0.7703473103,0.4453306819,0.37816,0.869,0.08465628427,0.213,0,1,-1,-0.3763047752,-0.2922243311,1,219463
0.8248750818,0.8278574232,0.44026,0.899,0.08465628427,0.237,0.3576569795,0.6423430205,0,0.9999999997,0.9999999252,0,172305
0.8016919178,0.7661380987,0.54116,0.946,0.08465628427,0.415,0.5856735332,0.4143264668,-1,0.05115060027,0.06985095416,1,224946
0.8196918598,0.8323485158,0.49297,0.915,0.08465628427,0.3,0.485215852,0.514784148,1,0.997861685,0.8942468316,0,177695
0.7661716219,0.7283268791,0.45813,0.859,0.08465628427,0.234,0.6597334118,0.3402665882,-1,-0.9983775196,-0.9983532591,1,240724
0.7617943794,0.540366789,0.48582,0.881,0.08465628427,0.302,0.4251517979,0.5748482021,-1,-0.2170629993,0.3217326139,1,239434
0.8435478384,0.8764767294,0.43053,0.892,0.08465628427,0.22,0.3513132825,0.6486867175,1,0.9286709124,0.9296280991,0,158094
0.8085159359,0.878909223,0.48522,0.908,0.08465628427,0.272,0.6741480264,0.3258519736,1,0.9931253717,0.999114022,0,168194
0.8342037911,0.7809115171,0.45481,0.904,0.08465628427,0.305,0.519,0.481,-1,-0.007103102221,0.0101717472,1,215405
0.7916827554,0.7146394831,0.48636,0.894,0.08465628427,0.364,0.4809690818,0.5190309182,-1,-0.9836480752,-0.9915610602,1,224240
0.7607611738,0.7345498427,0.51115,0.88,0.08465628427,0.252,0.3821293436,0.6178706564,0,0.9944839203,0.9957692246,0,174297
0.802884763,0.8414399743,0.53814,0.911,0.08465628427,0.336,0.5746120562,0.4253879438,1,0.9750887909,0.9043718067,0,215683
0.8263300822,0.8667058223,0.44362,0.87,0.08465628427,0.217,0.5976792877,0.4023207123,0,0.3522882403,0.473792253,0,140487
0.8128244045,0.8034121401,0.53675,0.899,0.08465628427,0.32,0.6435101223,0.3564898777,1,-0.2614485695,-0.2724372944,0,186674
0.8356132244,0.8552416611,0.53205,0.906,0.08465628427,0.324,0.5544432398,0.4455567602,1,1,1,0,172146
0.7642276947,0.3859735701,0.4244,0.831,0.08465628427,0.211,0.6589548724,0.3410451276,-1,-1,-1,1,253661
0.8110321729,0.7586509185,0.53744,0.886,0.08465628427,0.352,0.1968799539,0.8031200461,-1,-0.9999885125,-0.9971088521,1,237925
0.8211188457,0.7655343882,0.57254,0.916,0.08465628427,0.396,0.359166758,0.640833242,-1,-0.999997603,-0.9999998126,1,235764
0.78421646,0.721155249,0.60606,0.924,0.08465628427,0.406,0.4106467367,0.5893532633,-1,-0.9963618713,-0.9986298715,1,221239
0.7698356868,0.4369548853,0.36368,0.792,0.08465628427,0.204,0.4165607894,0.5834392106,-1,-1,-1,1,218825
0.7917632596,0.8178972854,0.51148,0.815,0.08465628427,0.275,0.56,0.44,1,0.1792038299,0.1726571567,0,165407
0.8170318162,0.8598415737,0.49953,0.866,0.08465628427,0.408,0.5489385665,0.4510614335,0,0.06280998567,0.2768080965,0,166758
0.7632250105,0.6339641981,0.47573,0.876,0.09175982984,0.252,1,0,1,1,1,0,135238
0.7578756861,0.4233481679,0.35183,0.84,0.09175982984,0.172,0.3877015157,0.6122984843,-1,-0.7692851579,-0.7489571236,1,161397
0.7626431783,0.6930870681,0.53655,0.878,0.09175982984,0.276,0.6834659797,0.3165340203,1,1,1,0,129792
0.7451446359,0.2652777161,0.50048,0.879,0.09175982984,0.307,0.2428054028,0.7571945972,-1,-1,-1,1,278906
0.7904063133,0.3196884124,0.45882,0.886,0.09175982984,0.409,0.1556085697,0.8443914303,-1,-0.9999999984,-0.9999999978,1,301857
0.760001798,0.6771899115,0.8239,0.942,0.09175982984,0.62,0.6168248953,0.3831751047,1,1,1,1,216775
0.7299651266,0.5436388224,0.67534,0.893,0.09175982984,0.426,0.6038168442,0.3961831558,1,1,1,1,190900
0.7606164081,0.624288371,0.42013,0.849,0.09175982984,0.23,0.6764291935,0.3235708065,1,1,1,0,109264
0.7740660848,0.8778690142,0.47477,0.824,0.09175982984,0.236,1,0,1,1,1,0,79797
0.7625583914,0.6881594055,0.4904,0.872,0.09175982984,0.262,1,0,1,1,1,0,142636
0.7675950105,0.7460414478,0.66258,0.913,0.09175982984,0.414,0.6740577388,0.3259422612,1,1,1,0,160623
0.7634372013,0.578260623,0.41442,0.834,0.09175982984,0.215,0.616008528,0.383991472,1,0.9999617529,1,0,129061
0.7338855296,0.3115165333,0.53136,0.882,0.09175982984,0.276,0,1,-1,-1,-1,1,279045
0.7537578962,0.854330176,0.46248,0.803,0.09175982984,0.171,1,0,1,1,1,0,77798
0.803192651,0.1766275436,0.762,0.914,0.06008164577,0.356,0.2401463096,0.7598536904,0,-1,-1,1,183245
0.7680739193,0.3238078546,0.67716,0.932,0.06008164577,0.301,0.1884322332,0.8115677668,-1,-1,-1,1,171517
0.7503381825,0.8978722591,0.49892,0.911,0.07221021925,0.254,0.6818161349,0.3181838651,0,0.05849648603,0.1758946123,0,131380
0.7326455361,0.9032121525,0.48356,0.906,0.07221021925,0.284,0.6815079407,0.3184920593,1,1,1,0,124151
0.7697719448,0.697190227,0.53183,0.895,0.08337636911,0.238,0,1,-1,-1,-1,1,185180
